date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:28:56	82446/82446	---M-Z	200	added ('OK')	application/javascript	etag:W/%22e57f601d6c7db8834f1367e05bb3534b%22	https://static.parastorage.com/services/santa-members-viewer-app/1.748.0/app.bundle.min.js	D:/Shirali/Shirali%20website/static.parastorage.com/services/santa-members-viewer-app/1.748.0/app.bundle.min.js	(from https://shirali238.wixsite.com/portfolio)
00:28:56	60273/60273	---M-Z	200	added ('OK')	application/javascript	etag:W/%221118128fee9c42b3c4a98f84cff63ee7%22	https://static.parastorage.com/services/editor-elements/dist/componentSdks.aad78ddd.bundle.min.js	D:/Shirali/Shirali%20website/static.parastorage.com/services/editor-elements/dist/componentSdks.aad78ddd.bundle.min.js	(from https://shirali238.wixsite.com/portfolio)
00:28:57	10276/10276	---M-Z	200	added ('OK')	application/javascript	etag:W/%22bb126b6054c4d9c61702d224b8344943%22	https://static.parastorage.com/services/tag-manager-client/1.282.0/siteTags.bundle.min.js	D:/Shirali/Shirali%20website/static.parastorage.com/services/tag-manager-client/1.282.0/siteTags.bundle.min.js	(from https://shirali238.wixsite.com/portfolio)
00:28:57	118624/118624	---M-Z	200	added ('OK')	application/javascript	etag:W/%22b85b766f9c84a66320deb52e51403e0d%22	https://static.parastorage.com/services/editor-elements/dist/thunderboltElements.989eea31.bundle.min.js	D:/Shirali/Shirali%20website/static.parastorage.com/services/editor-elements/dist/thunderboltElements.989eea31.bundle.min.js	(from https://shirali238.wixsite.com/portfolio)
00:28:57	28769/28769	---M-Z	200	added ('OK')	application/javascript	etag:W/%22176ee9e7e73026df1413537b2d27c82d%22	https://static.parastorage.com/services/wix-perf-measure/1.401.0/wix-perf-measure.bundle.min.js	D:/Shirali/Shirali%20website/static.parastorage.com/services/wix-perf-measure/1.401.0/wix-perf-measure.bundle.min.js	(from https://shirali238.wixsite.com/portfolio)
00:28:57	118656/118656	---M-Z	200	added ('OK')	application/javascript	etag:W/%22dcf51763fb4a654e15a4e6e7754ca5d2%22	https://static.parastorage.com/unpkg/react-dom@16.13.1/umd/react-dom.production.min.js	D:/Shirali/Shirali%20website/static.parastorage.com/unpkg/react-dom@16.13.1/umd/react-dom.production.min.js	(from https://shirali238.wixsite.com/portfolio)
00:28:58	213372/213372	---M-Z	200	added ('OK')	application/javascript	etag:W/%22000110994ce5170f407b46b368322696%22	https://static.parastorage.com/services/wix-thunderbolt/dist/animations-vendors.914e7e5d.chunk.min.js	D:/Shirali/Shirali%20website/static.parastorage.com/services/wix-thunderbolt/dist/animations-vendors.914e7e5d.chunk.min.js	(from https://shirali238.wixsite.com/portfolio)
00:28:58	942/942	---M-Z	200	added ('OK')	application/javascript	etag:W/%2293481e15a6cac36a8c5720b0b38022f7%22	https://static.parastorage.com/services/wix-thunderbolt/dist/activePopup.a39abdcf.chunk.min.js	D:/Shirali/Shirali%20website/static.parastorage.com/services/wix-thunderbolt/dist/activePopup.a39abdcf.chunk.min.js	(from https://shirali238.wixsite.com/portfolio)
00:28:58	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Apr%202021%2004:28:59%20GMT	https://shirali238.wixsite.com/	D:/Shirali/Shirali%20website/shirali238.wixsite.com/index.html	(from https://shirali238.wixsite.com/portfolio)
00:28:58	709/709	---M-Z	200	added ('OK')	application/javascript	etag:W/%22883b82de0097f8cda188dfc1f636fd50%22	https://static.parastorage.com/services/wix-thunderbolt/dist/headerPlaceholderHeight.d4c4e356.chunk.min.js	D:/Shirali/Shirali%20website/static.parastorage.com/services/wix-thunderbolt/dist/headerPlaceholderHeight.d4c4e356.chunk.min.js	(from https://shirali238.wixsite.com/portfolio)
00:28:58	1982/1982	---M-Z	200	added ('OK')	application/javascript	etag:W/%22a70439d157b3176f218a2c29226e35c8%22	https://static.parastorage.com/services/wix-thunderbolt/dist/loginSocialBar.d479aa0a.chunk.min.js	D:/Shirali/Shirali%20website/static.parastorage.com/services/wix-thunderbolt/dist/loginSocialBar.d479aa0a.chunk.min.js	(from https://shirali238.wixsite.com/portfolio)
00:28:59	687/687	---M-Z	200	added ('OK')	application/javascript	etag:W/%228766695c88579262ee473fd3b4be1153%22	https://static.parastorage.com/services/wix-thunderbolt/dist/ooiTpaSharedConfig.5758877b.chunk.min.js	D:/Shirali/Shirali%20website/static.parastorage.com/services/wix-thunderbolt/dist/ooiTpaSharedConfig.5758877b.chunk.min.js	(from https://shirali238.wixsite.com/portfolio)
00:28:59	3264/3264	---M-Z	200	added ('OK')	application/javascript	etag:W/%22cbb707afda424008eb0029495a0cddb8%22	https://static.parastorage.com/services/wix-thunderbolt/dist/platformPubsub.6b070b26.chunk.min.js	D:/Shirali/Shirali%20website/static.parastorage.com/services/wix-thunderbolt/dist/platformPubsub.6b070b26.chunk.min.js	(from https://shirali238.wixsite.com/portfolio)
00:28:59	950/950	---M-Z	200	added ('OK')	application/javascript	etag:W/%22d69b411a126a773ba479f8f26ce61d20%22	https://static.parastorage.com/services/wix-thunderbolt/dist/sosp.2fd75148.chunk.min.js	D:/Shirali/Shirali%20website/static.parastorage.com/services/wix-thunderbolt/dist/sosp.2fd75148.chunk.min.js	(from https://shirali238.wixsite.com/portfolio)
00:28:59	66880/66880	---M-Z	200	added ('OK')	application/javascript	etag:W/%22b92937ec370cbe2a9e14f415be3a8516%22	https://static.parastorage.com/services/wix-thunderbolt/dist/tpa.15c06226.chunk.min.js	D:/Shirali/Shirali%20website/static.parastorage.com/services/wix-thunderbolt/dist/tpa.15c06226.chunk.min.js	(from https://shirali238.wixsite.com/portfolio)
00:28:59	2226/2226	---M-Z	200	added ('OK')	application/javascript	etag:W/%2209a88622a3bb33c988e6a04c1931b7a7%22	https://static.parastorage.com/services/wix-thunderbolt/dist/pageTransitions.c1f4df84.chunk.min.js	D:/Shirali/Shirali%20website/static.parastorage.com/services/wix-thunderbolt/dist/pageTransitions.c1f4df84.chunk.min.js	(from https://shirali238.wixsite.com/portfolio)
00:29:00	34895/34895	---M-Z	200	added ('OK')	application/javascript	etag:W/%223e5d158e65044898718967e4df9f9b8f%22	https://static.parastorage.com/services/editor-elements/dist/bootstrap-components-common.af16d9e2.chunk.min.js	D:/Shirali/Shirali%20website/static.parastorage.com/services/editor-elements/dist/bootstrap-components-common.af16d9e2.chunk.min.js	(from https://shirali238.wixsite.com/portfolio)
00:29:00	20487/20487	---M-Z	200	added ('OK')	application/javascript	etag:W/%2202ce2efe0f79a46d808e8cf9e18c624f%22	https://static.parastorage.com/services/editor-elements/dist/bootstrap-components-classic.fe50ecd4.chunk.min.js	D:/Shirali/Shirali%20website/static.parastorage.com/services/editor-elements/dist/bootstrap-components-classic.fe50ecd4.chunk.min.js	(from https://shirali238.wixsite.com/portfolio)
00:29:00	883/883	---M-Z	200	added ('OK')	application/javascript	etag:W/%2210592a0e5a9714ac71bbeab3959efeaa%22	https://static.parastorage.com/services/editor-elements/dist/Container_DefaultAreaSkin.c8420b50.chunk.min.js	D:/Shirali/Shirali%20website/static.parastorage.com/services/editor-elements/dist/Container_DefaultAreaSkin.c8420b50.chunk.min.js	(from https://shirali238.wixsite.com/portfolio)
00:29:00	12912/12912	---M-Z	200	added ('OK')	application/javascript	etag:W/%22cfb04e6d6e01695d7edb3a917bd54bc2%22	https://static.parastorage.com/services/editor-elements/dist/bootstrap-components-responsive.64a52301.chunk.min.js	D:/Shirali/Shirali%20website/static.parastorage.com/services/editor-elements/dist/bootstrap-components-responsive.64a52301.chunk.min.js	(from https://shirali238.wixsite.com/portfolio)
00:29:01	6579/6579	---M-Z	200	added ('OK')	application/javascript	etag:W/%221ec9b9e4cbf2720aed21d5d429e05ab8%22	https://static.parastorage.com/services/editor-elements/dist/LoginSocialBar.a4796ad9.chunk.min.js	D:/Shirali/Shirali%20website/static.parastorage.com/services/editor-elements/dist/LoginSocialBar.a4796ad9.chunk.min.js	(from https://shirali238.wixsite.com/portfolio)
00:29:01	4976/4976	---M-Z	200	added ('OK')	application/javascript	etag:W/%22476debae32736736c239055499af3c1a%22	https://static.parastorage.com/services/editor-elements/dist/VerticalMenu_VerticalMenuSolidColorSkin.d0e51c4f.chunk.min.js	D:/Shirali/Shirali%20website/static.parastorage.com/services/editor-elements/dist/VerticalMenu_VerticalMenuSolidColorSkin.d0e51c4f.chunk.min.js	(from https://shirali238.wixsite.com/portfolio)
00:29:01	521/521	---M-Z	200	added ('OK')	application/javascript	etag:W/%2206fe13f02e02116ad1801b1af5eaa907%22	https://static.parastorage.com/services/editor-elements/dist/MeshGroup.6fabb4a8.chunk.min.js	D:/Shirali/Shirali%20website/static.parastorage.com/services/editor-elements/dist/MeshGroup.6fabb4a8.chunk.min.js	(from https://shirali238.wixsite.com/portfolio)
00:29:01	3622/3622	---M-Z	200	added ('OK')	application/javascript	etag:W/%22eb1c37763359f1d7fbfbc4377541f35f%22	https://static.parastorage.com/services/editor-elements/dist/FreemiumBannerDesktop.9ccc100d.chunk.min.js	D:/Shirali/Shirali%20website/static.parastorage.com/services/editor-elements/dist/FreemiumBannerDesktop.9ccc100d.chunk.min.js	(from https://shirali238.wixsite.com/portfolio)
00:29:01	827/827	---M-Z	200	added ('OK')	application/javascript	etag:W/%227e9aea30858bccb0f7e93c767ed8430b%22	https://static.parastorage.com/services/editor-elements/dist/FiveGridLine_SolidLine.26a6ad81.chunk.min.js	D:/Shirali/Shirali%20website/static.parastorage.com/services/editor-elements/dist/FiveGridLine_SolidLine.26a6ad81.chunk.min.js	(from https://shirali238.wixsite.com/portfolio)
00:29:02	8677/8677	---M-Z	200	added ('OK')	application/javascript	etag:W/%22e60367ade5d274e4b1a495ba0fe22d46%22	https://static.parastorage.com/services/wix-thunderbolt/dist/tpa-components.13202ac4.chunk.min.js	D:/Shirali/Shirali%20website/static.parastorage.com/services/wix-thunderbolt/dist/tpa-components.13202ac4.chunk.min.js	(from https://shirali238.wixsite.com/portfolio)
00:29:03	455479/455479	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Apr%202021%2004:29:03%20GMT	https://shirali238.wixsite.com/portfolio/about	D:/Shirali/Shirali%20website/shirali238.wixsite.com/portfolio/about.html	(from https://shirali238.wixsite.com/portfolio)
00:29:03	72976/72976	---M-Z	200	added ('OK')	text/css	etag:W/%22a43772a375067b12098a044ba267df30%22	https://static.parastorage.com/services/pro-gallery-santa-wrapper/1.1527.0/staticCss.min.css	D:/Shirali/Shirali%20website/static.parastorage.com/services/pro-gallery-santa-wrapper/1.1527.0/staticCss.min.css	(from https://shirali238.wixsite.com/portfolio)
00:29:03	504441/504441	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Apr%202021%2004:29:04%20GMT	https://shirali238.wixsite.com/portfolio/contact	D:/Shirali/Shirali%20website/shirali238.wixsite.com/portfolio/contact.html	(from https://shirali238.wixsite.com/portfolio)
00:29:04	182140/182140	---M--	200	added ('OK')	image/jpeg	date:Thu,%2008%20Apr%202021%2004:29:05%20GMT	https://static.wixstatic.com/media/720913_bf0ce47942224e52831ec4ba20cab5a1~mv2.jpg/v1/fill/w_1026,h_685,al_c,q_90/720913_bf0ce47942224e52831ec4ba20cab5a1~mv2.jpg	D:/Shirali/Shirali%20website/static.wixstatic.com/media/720913_bf0ce47942224e52831ec4ba20cab5a1_mv2.jpg/v1/fill/w_1026,h_685,al_c,q_90/720913_bf0ce47942224e52831ec4ba20cab5a1_mv2.jpg	(from https://shirali238.wixsite.com/portfolio)
00:29:04	121261/121261	---M--	200	added ('OK')	image/jpeg	date:Thu,%2008%20Apr%202021%2004:29:05%20GMT	https://static.wixstatic.com/media/720913_9ef4160a13264b619200aedc25a89a88~mv2.jpg/v1/fill/w_998,h_348,al_c,q_90/720913_9ef4160a13264b619200aedc25a89a88~mv2.jpg	D:/Shirali/Shirali%20website/static.wixstatic.com/media/720913_9ef4160a13264b619200aedc25a89a88_mv2.jpg/v1/fill/w_998,h_348,al_c,q_90/720913_9ef4160a13264b619200aedc25a89a88_mv2.jpg	(from https://shirali238.wixsite.com/portfolio)
